strain	S1_down	S1_up	S2_down	S2_up	S3_down	S3_up
YAR031W::chr1_1	NA	319	NA	824	NA	289
YAR035C-A::chr00_20	549	393	1	2	396	324
YAR035W::chr1_1	NA	380	NA	516	NA	346
YAR037W::chr1_1	NA	420	NA	726	NA	393
YAR040C::chr1_1	NA	462	NA	804	NA	540
YAR042W::chr00_22	0	0	0	0	0	0
YAR042W::chr1_1	NA	0	NA	953	NA	191
YAR043C::chr1_1	NA	298	NA	417	NA	411
YAR044W::chr1_1	NA	230	NA	567	NA	277
YAR047C::chr1_1	NA	231	NA	750	NA	329
YAR050W::chr00_12	348	224	242	154	473	261
YBL001C::chr2_1	453	1	106	110	411	0
YBL002W::chr2_1	384	247	226	172	1487	1151
YBL003C::chr2_1	439	515	218	158	282	338
YBL004W::chr2_1	2	1	0	6	0	0
YBL005W::chr2_1	443	387	187	163	367	382
YBL006C::chr2_1	0	0	7	1126	0	278
YBL007C::chr2_1	223	114	1153	784	523	243
YBL008W-A::chr00_20	402	66	0	0	469	68
YBL008W::chr2_1	306	303	121	140	203	250
YBL009W::chr2_1	726	428	167	171	460	296
YBL010C::chr2_1	81	308	49	208	80	313
YBL011W::chr2_1	665	409	229	128	462	242
YBL012C::chr2_1	522	274	200	152	331	184
YBL013W::chr2_1	194	466	86	243	280	559
YBL014C::chr2_1	0	0	2	2	0	7
YBL015W::chr2_1	600	544	214	248	821	745
YBL016W::chr2_1	4	0	2	1	434	8
YBL017C::chr2_1	446	98	199	109	274	76
YBL018C::chr2_1	7	3	4	0	0	0
YBL019W::chr2_1	672	455	181	162	331	270
YBL020W::chr2_1	0	5	0	0	0	3
YBL021C::chr2_1	557	442	157	180	204	171
YBL022C::chr2_1	1	0	63	128	166	293
YBL023C::chr2_1	12	1	7	3	8	2
YBL024W::chr2_1	638	503	154	173	215	164
YBL025W::chr2_1	1	0	2	4	0	7
YBL026W::chr2_1	0	2	0	5	0	3
YBL027W::chr2_1	0	175	0	1040	0	282
YBL028C::chr2_1	495	431	232	74	240	231
YBL029C-A::chr00_20	446	237	3	0	430	277
YBL029W::chr2_1	330	194	74	75	204	107
YBL030C::chr2_1	0	0	0	0	3	0
YBL031W::chr2_1	514	289	1263	1115	210	140
YBL032W::chr2_1	590	345	238	219	341	240
YBL033C::chr2_1	0	0	342	378	0	0
YBL034C::chr2_1	0	1	4	3	0	1
YBL035C::chr2_1	0	0	0	0	2	2
YBL036C::chr2_1	668	444	208	172	958	752
YBL037W::chr2_1	511	24	1206	475	478	17
YBL038W::chr2_1	2	1	0	0	633	553
YBL039C::chr2_1	2	1	582	559	1	665
YBL039W-A::chr00_20	341	225	3	5	833	656
YBL040C::chr2_1	0	0	0	5	0	1
YBL041W::chr2_1	0	0	2	0	0	1
YBL042C::chr2_1	390	331	5	0	350	300
YBL043W::chr2_1	486	4	637	210	435	7
YBL044W::chr2_1	601	437	2063	1383	729	631
YBL045C::chr2_1	2	0	3	0	465	734
YBL046W::chr2_1	0	341	151	129	0	267
YBL047C::chr2_1	23	418	113	232	4	218
YBL048W::chr2_1	625	502	242	119	320	319
YBL049W::chr2_1	457	585	151	353	267	455
YBL050W::chr2_1	4	1	0	2	3	4
YBL051C::chr2_1	377	354	174	207	369	278
YBL052C::chr2_1	334	782	30	72	121	298
YBL053W::chr2_1	490	353	164	128	310	292
YBL054W::chr2_1	0	277	0	173	0	276
YBL055C::chr2_1	34	537	89	108	6	210
YBL056W::chr2_1	626	599	102	219	380	423
YBL057C::chr2_1	668	471	629	1147	303	277
YBL058W::chr2_1	0	0	2	6	33	9
YBL059W::chr2_1	356	426	182	223	197	234
YBL060W::chr2_1	1	592	92	134	0	286
YBL061C::chr2_1	660	625	151	306	227	250
YBL062W::chr2_1	10	461	168	401	8	368
YBL063W::chr2_1	1	3	233	152	440	335
YBL064C::chr2_1	560	420	134	140	334	243
YBL065W::chr2_1	229	352	98	132	180	242
YBL066C::chr2_1	0	480	121	178	1	338
YBL067C::chr2_1	663	425	181	186	524	355
YBL068W::chr2_1	545	465	181	179	317	393
YBL069W::chr2_1	571	384	117	153	376	426
YBL070C::chr2_1	438	339	230	203	430	328
YBL071C-B::chr00_20	179	148	2	1	511	454
YBL071C::chr2_1	2	597	417	929	3	307
YBL071W-A::chr00_20	94	99	0	0	275	401
YBL072C::chr2_1	6	3	1069	1091	725	659
YBL073W::chr2_1	4	11	1	2	1	5
YBL074C::chr2_1	1	1	0	1	6	5
YBL075C::chr2_1	522	481	116	251	368	365
YBL076C::chr2_1	1	0	0	0	0	2
YBL077W::chr2_1	2	5	2	6	0	7
YBL078C::chr2_1	368	363	319	289	400	452
YBL079W::chr2_1	215	198	992	971	199	245
YBL080C::chr2_1	1	2	7	15	674	633
YBL081W::chr2_1	205	343	96	134	170	280
YBL082C::chr2_1	73	115	14	127	80	94
YBL083C::chr2_1	217	139	213	151	329	231
YBL084C::chr2_1	0	0	1	4	1	2
YBL085W::chr2_1	738	522	174	266	395	357
YBL086C::chr2_1	687	602	182	223	373	361
YBL087C::chr2_1	0	1	115	784	79	139
YBL088C::chr2_1	556	578	173	171	358	296
YBL089W::chr2_1	12	246	704	1536	15	300
YBL090W::chr2_1	1	0	4	1	353	547
YBL091C-A::chr00_1	1	0	144	219	318	199
YBL091C-A::chr00_22	0	0	0	0	0	0
YBL091C::chr2_1	560	403	139	268	470	327
YBL092W::chr2_1	0	1	0	3	0	0
YBL093C::chr2_1	0	0	0	0	0	0
YBL094C::chr2_1	480	299	1760	1494	3	2
YBL095W::chr2_2	0	241	531	634	6	254
YBL096C::chr2_2	250	125	587	528	162	54
YBL097W::chr2_2	0	0	2	0	0	3
YBL098W::chr2_2	0	266	0	720	0	232
YBL099W::chr2_2	6	0	1615	1307	5	2
YBL100C::chr2_2	0	0	0	924	0	0
YBL101C::chr2_2	6	177	436	391	7	593
YBL101W-C::chr00_20	769	215	2	0	551	118
YBL102W::chr2_2	356	272	427	790	262	223
YBL103C::chr2_2	0	119	179	802	0	131
YBL104C::chr00_22	0	0	0	0	0	0
YBL104C::chr2_2	1	0	331	753	97	164
YBL105C::chr2_2	0	0	0	0	0	4
YBL106C::chr2_2	611	232	804	488	778	240
YBL107C::chr2_2	645	425	1093	772	817	451
YBR001C::chr2_2	451	304	1301	1090	693	579
YBR002C::chr2_2	0	1	0	0	0	0
YBR003W::chr2_2	0	0	396	624	2	0
YBR004C::chr2_2	0	0	0	0	0	0
YBR005W::chr2_2	5	207	541	340	2	353
YBR006W::chr2_2	281	302	1517	1797	366	476
YBR007C::chr2_2	421	325	1216	1228	471	508
YBR008C::chr2_2	302	300	1140	1198	456	333
YBR009C::chr2_2	348	246	1514	1230	421	341
YBR010W::chr2_2	238	327	1285	1210	279	400
YBR011C::chr2_2	1	4	0	8	7	8
YBR012C::chr2_2	309	0	979	580	435	3
YBR013C::chr2_2	646	261	1252	837	483	267
YBR014C::chr2_2	516	299	1267	997	569	372
YBR015C::chr2_2	4	16	977	689	3	17
YBR016W::chr2_2	1	249	554	1207	2	317
YBR017C::chr2_2	0	0	0	0	0	0
YBR018C::chr2_2	743	501	449	763	714	572
YBR019C::chr2_2	342	0	428	197	383	0
YBR020W::chr00_18	6	0	171	98	773	647
YBR020W::chr2_2	371	235	561	432	996	741
YBR021W::chr2_2	462	248	389	220	857	475
YBR022W::chr2_2	383	206	580	457	542	431
YBR023C::chr2_2	396	197	329	386	637	297
YBR024W::chr2_2	364	290	512	480	419	379
YBR025C::chr2_2	540	315	1121	971	400	335
YBR026C::chr2_2	155	30	689	521	163	34
YBR027C::chr2_2	385	245	583	561	1050	862
YBR028C::chr2_2	389	292	534	500	259	182
YBR029C::chr2_2	0	0	0	0	0	1
YBR030W::chr2_2	13	355	16	444	11	246
YBR031W::chr2_2	343	222	1238	513	355	267
YBR032W::chr2_2	396	164	326	383	589	249
YBR033W::chr2_2	370	276	252	376	320	367
YBR034C::chr2_2	383	236	394	363	697	560
YBR035C::chr2_2	137	99	583	645	294	284
YBR036C::chr2_2	123	0	345	161	565	0
YBR037C::chr2_2	0	1	272	838	1	0
YBR038W::chr2_2	0	0	0	0	2	0
YBR039W::chr2_2	1	0	1015	886	4	2
YBR040W::chr2_2	507	397	404	283	302	280
YBR041W::chr2_2	388	317	404	416	312	265
YBR042C::chr2_2	411	23	545	229	376	21
YBR043C::chr2_2	384	263	405	331	592	385
YBR044C::chr2_2	254	100	320	56	260	76
YBR045C::chr2_2	421	194	468	346	347	180
YBR046C::chr2_2	331	246	442	338	568	327
YBR047W::chr2_2	412	224	446	308	1246	741
YBR048W::chr2_2	246	239	1237	1125	367	231
YBR049C::chr2_2	0	0	0	0	0	0
YBR050C::chr2_2	396	295	845	707	484	356
YBR051W::chr2_2	190	216	268	341	287	276
YBR052C::chr2_2	419	277	464	410	430	374
YBR053C::chr2_2	413	326	301	313	240	328
YBR054W::chr2_2	346	199	500	367	294	226
YBR055C::chr2_2	2	2	5	0	0	3
YBR056W-A::chr00_20	443	318	0	1	520	425
YBR056W::chr2_2	0	221	0	427	0	241
YBR057C::chr2_2	259	251	328	361	353	447
YBR058C-A::chr00_20	251	5	1	0	551	18
YBR058C::chr2_2	327	222	423	336	245	131
YBR059C::chr2_2	2	240	259	407	0	241
YBR060C::chr2_2	0	0	1	0	0	0
YBR061C::chr2_2	1	0	357	331	152	171
YBR062C::chr00_23	577	403	0	1	449	317
YBR062C::chr2_2	378	264	489	428	327	331
YBR063C::chr2_2	366	283	409	335	395	333
YBR064W::chr2_2	383	318	450	520	580	451
YBR065C::chr2_2	1	237	230	431	0	455
YBR066C::chr2_2	412	239	497	387	988	653
YBR067C::chr2_2	291	0	448	222	281	1
YBR068C::chr2_2	314	300	590	584	301	340
YBR069C::chr2_2	235	133	465	475	311	168
YBR070C::chr2_2	0	0	0	3	0	0
YBR071W::chr2_2	420	198	325	318	331	169
YBR072C-A::chr00_20	427	261	1	5	1151	858
YBR072W::chr2_2	406	244	241	437	249	193
YBR073W::chr2_2	364	226	485	304	287	192
YBR074W::chr00_22	0	0	0	0	0	0
YBR074W::chr2_2	2	0	623	664	354	309
YBR075W::chr00_18	1	0	100	2	82	0
YBR075W::chr2_2	247	197	193	367	303	256
YBR076W::chr2_2	387	311	378	193	334	271
YBR077C::chr2_2	271	196	1203	1286	431	406
YBR078W::chr2_2	1310	205	2244	1116	1626	740
YBR079C::chr2_2	0	0	0	0	0	1
YBR080C::chr00_16a	2	0	2	1	2	5
YBR081C::chr2_3	1	1	91	86	626	554
YBR082C::chr2_3	0	0	0	174	0	234
YBR083W::chr00_16a	392	276	191	153	789	574
YBR084C-A::chr00_16a	284	228	444	1003	831	689
YBR084W::chr2_3	379	354	473	451	411	392
YBR085C-A::chr00_20	616	343	3	0	856	598
YBR085W::chr2_3	0	0	0	274	0	235
YBR086C::chr2_3	0	0	0	0	0	0
YBR087W::chr2_3/chr00_16a	3	1	1	5	0	1
YBR088C::chr00_16a	1	5	1	4	0	0
YBR089W::chr2_3	5	5	2	8	1	0
YBR090C-A::chr2_3	364	302	224	266	445	392
YBR090C::chr00_16a	288	252	227	171	730	571
YBR091C::chr2_3	0	0	0	0	0	0
YBR092C::chr2_3	430	268	300	233	506	305
YBR093C::chr2_3	1	0	337	258	0	0
YBR094W::chr2_3	1	1	304	187	1	0
YBR095C::chr2_3	361	253	188	217	400	360
YBR096W::chr2_3	0	0	0	0	0	0
YBR097W::chr2_3	1	0	555	318	134	79
YBR098W::chr00_22	2	0	0	2	567	384
YBR098W::chr2_3	2	0	326	252	326	207
YBR099C::chr2_3	476	290	1382	666	826	496
YBR100W::chr2_3/chr00_16a	265	229	343	376	700	989
YBR101C::chr2_3	0	0	166	168	0	0
YBR102C::chr2_3	5	0	0	0	0	0
YBR103W::chr2_3	377	1	291	232	325	1
YBR104W::chr2_3	855	613	255	239	465	419
YBR105C::chr00_23	484	364	0	0	479	406
YBR105C::chr2_3	3	1	288	261	430	302
YBR106W::chr2_3	343	213	1844	1396	492	296
YBR107C::chr2_3	319	294	209	88	431	388
YBR108W::chr00_23	0	0	0	0	0	0
YBR108W::chr2_3	334	4	199	2	399	6
YBR109C::chr2_3	0	2	0	2	0	1
YBR110W::chr2_3	0	0	0	0	2	0
YBR111C::chr2_3	412	277	1	0	449	371
YBR111W-A::chr00_20	605	16	0	0	301	8
YBR112C::chr00_16a	0	0	0	0	0	5
YBR113W::chr2_3	410	7	127	71	602	124
YBR114W::chr2_3	1606	410	139	38	1400	343
YBR115C::chr2_3	304	98	235	192	367	269
YBR116C::chr2_3	420	218	206	83	433	291
YBR117C::chr2_3	0	0	0	0	0	0
YBR118W::chr2_3	0	0	0	0	0	0
YBR119W::chr2_3	435	424	90	61	330	367
YBR120C::chr2_3	0	1	56	259	10	115
YBR121C::chr00_16a	1	2	6	0	4	0
YBR121C::chr2_3	0	0	0	0	0	0
YBR122C::chr00_22	0	0	0	0	0	0
YBR122C::chr00_23	0	0	0	0	0	0
YBR122C::chr2_3	0	0	0	0	0	0
YBR123C::chr2_3	2	2	0	1	1	0
YBR124W::chr2_3	2	0	0	2	2	0
YBR125C::chr00_16a	16	306	153	142	14	445
YBR126C::chr2_3	345	283	837	318	625	515
YBR127C::chr2_3	65	46	99	18	249	103
YBR128C::chr2_3	3	3	191	96	665	438
YBR129C::chr2_3	270	289	238	114	433	469
YBR130C::chr2_3	361	256	328	294	993	623
YBR131W::chr00_16a	314	0	190	81	785	0
YBR132C::chr2_3	295	242	0	0	301	231
YBR133C::chr00_21	40	93	0	0	81	178
YBR133C::chr2_3	0	0	163	2	54	3
YBR134W::chr2_3	185	169	1261	1282	358	266
YBR135W::chr2_3	0	0	0	0	0	0
YBR136W::chr2_3	2	0	0	3	2	0
YBR137W::chr2_3	319	248	231	188	500	351
YBR138C::chr2_3	301	344	169	230	481	550
YBR139W::chr2_3	438	306	182	222	609	558
YBR140C::chr2_3	0	2	1	0	0	0
YBR141C::chr2_3	620	450	197	207	566	400
YBR142W::chr2_3	0	0	2	1	0	4
YBR143C::chr2_3	0	0	0	1	0	0
YBR144C::chr2_3	218	25	742	732	101	10
YBR145W::chr2_3	612	534	255	210	486	334
YBR146W::chr2_3	38	0	105	0	3	0
YBR147W::chr2_3	585	660	255	436	343	766
YBR148W::chr2_3	525	478	374	399	246	289
YBR149W::chr2_3	486	0	329	40	293	0
YBR150C::chr00_16a	456	6	295	102	575	7
YBR151W::chr2_3	538	414	258	274	384	419
YBR152W::chr2_3	0	7	0	3	0	3
YBR153W::chr2_3	0	9	4	4	5	10
YBR154C::chr2_3	0	0	0	2	0	0
YBR155W::chr2_3	0	3	2	1	0	1
YBR156C::chr2_3	547	115	296	16	398	117
YBR157C::chr00_22	0	0	0	0	0	0
YBR157C::chr2_3	3	0	265	266	384	313
YBR158W::chr2_3	295	280	86	178	246	271
YBR159W::chr2_3	0	0	175	11	0	0
YBR160W::chr2_3	1	0	2	0	1	0
YBR160W_AS::shawn	0	0	0	0	0	0
YBR161W::chr2_3	418	271	329	202	617	483
YBR162C::chr2_3	459	264	752	541	315	208
YBR162W-A::chr2_3	704	598	280	295	773	839
YBR163W::chr2_3	1	0	408	788	347	259
YBR164C::chr2_3	234	138	224	183	350	197
YBR165W::chr2_3	366	317	187	218	366	296
YBR166C::chr2_3	148	6	0	0	99	0
YBR167C::chr2_3	0	0	0	4	0	4
YBR168W::chr00_16a	237	256	0	2	227	231
YBR169C::chr00_16a	408	1	299	85	460	0
YBR170C::chr2_3	1	284	545	103	3	289
YBR171W::chr2_3	501	338	275	284	461	445
YBR172C::chr2_3	486	185	1234	967	428	144
YBR173C::chr2_4	144	121	728	647	392	284
YBR174C::chr2_4	267	258	815	873	383	306
YBR175W::chr2_4	5	238	20	997	6	447
YBR176W::chr2_4	0	315	0	324	0	245
YBR177C::chr2_4	457	246	326	207	896	483
YBR178W::chr2_4	3	0	2	151	9	0
YBR179C::chr2_4	0	1	1	0	298	246
YBR180W::chr2_4	435	341	360	271	746	549
YBR181C::chr2_4	372	271	589	1115	496	438
YBR182C-A::chr00_20	362	96	0	0	431	120
YBR182C::chr2_4	0	222	0	113	0	559
YBR183W::chr2_4	409	352	273	406	403	363
YBR184W::chr2_4	495	265	1369	1103	633	486
YBR185C::chr2_4	526	446	337	338	368	335
YBR186W::chr2_4	656	349	360	139	640	306
YBR187W::chr2_4	444	0	425	35	307	0
YBR188C::chr2_4	439	365	168	228	357	289
YBR189W::chr00_14	1	218	197	311	0	146
YBR189W::chr2_4	4	0	8	0	12	2
YBR190W::chr2_4	0	0	0	0	0	0
YBR191W::chr00_11	114	60	244	270	309	257
YBR191W::chr2_4	0	0	0	0	0	0
YBR192W::chr2_4	0	6	0	2	0	1
YBR193C::chr2_4	0	0	0	0	1	0
YBR194W::chr2_4	351	0	967	459	231	0
YBR195C::chr2_4	395	0	453	140	592	1
YBR196C-A::chr00_20	192	153	1	1	904	741
YBR196C-B::chr00_20	378	0	1	0	546	0
YBR196C::chr2_4	2	0	3	0	7	0
YBR197C::chr2_4	1	298	282	524	3	365
YBR198C::chr2_4	5	86	1	81	6	62
YBR199W::chr2_4	411	285	520	369	629	719
YBR200W-A::chr00_20	335	242	1	0	597	488
YBR200W::chr2_4	264	213	621	1211	493	419
YBR201W::chr00_22	337	346	4	2	520	606
YBR201W::chr2_4	0	0	369	33	749	0
YBR202W::chr2_4	2	1	0	0	0	1
YBR203W::chr2_4	491	356	367	333	639	395
YBR204C::chr2_4	413	455	281	420	325	448
YBR205W::chr2_4	658	500	372	431	510	396
YBR206W::chr2_4	482	442	308	194	487	434
YBR207W::chr2_4	446	406	400	338	369	315
YBR208C::chr2_4	457	398	283	304	450	401
YBR209W::chr2_4	426	3	1	3	598	12
YBR210W::chr2_4	463	246	238	128	390	209
YBR211C::chr2_4	0	1	3	0	4	2
YBR212W::chr2_4	416	242	482	275	514	349
YBR213W::chr2_4	6	0	555	83	464	0
YBR214W::chr2_4	43	331	645	1254	57	468
YBR215W::chr2_4	323	34	15	13	539	54
YBR216C::chr2_4	51	459	1311	2557	51	713
YBR217W::chr2_4	373	358	1064	1008	801	640
YBR218C::chr2_4	563	578	1098	1028	528	382
YBR219C::chr2_4	579	1	1015	468	507	1
YBR220C::chr2_4	420	246	1031	899	702	436
YBR221C::chr2_4	289	6	1353	585	264	8
YBR221W-A::chr00_20	423	2	0	0	631	1
YBR222C::chr2_4	1047	0	733	377	1744	2
YBR223C::chr2_4	697	692	859	497	419	440
YBR224W::chr2_4	151	324	607	919	135	354
YBR225W::chr2_4	382	193	658	742	314	161
YBR226C::chr2_4	279	416	198	287	463	673
YBR227C::chr2_4	398	0	258	96	681	0
YBR228W::chr2_4	430	301	257	192	357	312
YBR229C::chr2_4	292	241	229	223	339	314
YBR230C::chr2_4	248	366	115	189	226	331
YBR230W-A::chr00_22	0	0	0	0	0	0
YBR231C::chr2_4	348	229	987	829	343	248
YBR232C::chr00_8	286	409	267	314	272	521
YBR233W-A::chr00_20	2	0	1	1	3	3
YBR233W::chr2_4	393	30	214	140	769	76
YBR234C::chr2_4	0	2	0	0	2	3
YBR235W::chr2_4	296	320	173	191	250	267
YBR236C::chr2_4	18	7	16	4	10	0
YBR237W::chr2_4	3	4	0	0	0	5
YBR238C::chr2_4	403	331	106	95	658	470
YBR239C::chr2_4	456	382	206	194	258	235
YBR240C::chr2_4	435	371	112	233	294	326
YBR241C::chr2_4	535	292	253	228	399	225
YBR242W::chr2_4	417	241	212	236	370	251
YBR243C::chr2_4	1	5	3	2	1	0
YBR244W::chr2_4	445	274	219	165	350	202
YBR245C::chr2_4	319	210	175	150	284	183
YBR246W::chr2_4	363	262	190	162	440	327
YBR247C::chr2_4	25	14	23	36	22	5
YBR248C::chr2_4	199	98	251	177	317	189
YBR249C::chr2_4	461	0	224	84	441	0
YBR250W::chr2_4	412	249	208	195	388	256
YBR251W::chr2_4	2	0	742	591	183	100
YBR252W::chr2_4	0	1	0	0	2	1
YBR253W::chr2_4	0	2	1	0	0	0
YBR254C::chr2_4	1	6	1	0	4	0
YBR255C-A::chr00_21	0	0	0	0	0	0
YBR255W::chr2_4	377	308	210	188	1019	795
YBR256C::chr2_4	2	1	3	2	1	6
YBR257W::chr2_4	4	0	0	0	0	0
YBR258C::chr2_4	426	357	182	178	437	325
YBR259W::chr2_4	522	438	214	246	324	262
YBR260C::chr2_4	376	206	403	299	278	275
YBR261C::chr2_4	310	284	107	232	296	321
YBR262C::chr2_4	0	403	97	216	0	222
YBR263W::chr2_4	368	279	222	151	294	231
YBR264C::chr2_4	554	0	189	86	327	0
YBR265W::chr2_4	8	4	3	5	0	3
YBR266C::chr2_4	239	212	294	667	14	9
YBR267W::chr2_4	269	197	518	573	90	61
YBR268W::chr2_4	2	2	600	772	404	370
YBR269C::chr00_1	66	303	10	190	72	283
YBR270C::chr00_16a	331	212	366	398	369	371
YBR271W::chr00_1	467	414	90	195	216	198
YBR272C::chr00_16a	401	0	860	358	549	0
YBR273C::chr00_1	0	233	0	156	0	246
YBR274W::chr00_1	1	0	573	536	212	151
YBR274W::chr00_23	500	108	1	0	442	118
YBR275C::chr00_16a	410	256	189	167	629	342
YBR276C::chr00_16a	352	268	293	92	678	546
YBR277C::chr00_1	123	256	971	1187	82	191
YBR278W::chr00_1	251	120	941	860	221	145
YBR279W::chr00_1	155	0	596	328	373	0
YBR280C::chr00_16a	32	215	363	621	33	322
YBR281C::chr00_1	526	358	220	188	340	320
YBR282W::chr00_1	0	1	547	531	451	325
YBR283C::chr00_1	293	184	1118	754	271	118
YBR284W::chr00_1	246	268	228	295	156	307
YBR285W::chr00_1	280	363	190	268	363	276
YBR286W::chr00_1	350	332	246	172	363	303
YBR287W::chr00_16a	581	475	272	254	526	478
YBR288C::chr00_16a	224	0	73	14	312	0
YBR289W::chr00_16a	209	129	733	532	385	247
YBR290W::chr00_1	5	260	117	217	3	295
YBR291C::chr00_1	0	384	98	196	0	284
YBR292C::chr00_1	614	407	239	249	300	294
YBR293W::chr00_1	0	0	116	177	182	329
YBR294W::chr00_16a	460	261	301	176	508	277
YBR295W::chr00_1	384	253	297	126	287	189
YBR296C-A::chr00_20	404	0	1	0	349	0
YBR296C::chr00_1	0	257	158	339	0	248
YBR297W::chr00_1	28	167	113	172	13	151
YBR298C::chr00_1	359	305	219	194	495	392
YBR299W::chr00_17a	396	227	154	137	808	622
YBR300C::chr00_1	284	1	277	160	450	2
YBR301W::chr00_16a	536	353	266	246	458	470
YCL001W-A::chr00_1	342	84	321	229	415	114
YCL001W-B::chr00_20	596	351	0	2	356	293
YCL001W::chr3_1	624	463	280	260	619	447
YCL002C::chr00_22	0	0	0	0	0	0
YCL002C::chr3_1	2	0	295	0	483	0
YCL003W::chr3_1	2	0	0	0	0	0
YCL004W::chr00_22	0	0	0	0	0	0
YCL004W::chr3_1	7	3	3	3	3	0
YCL005W-A::chr00_23	3	0	1	0	332	97
YCL005W::chr3_1	146	150	169	238	278	496
YCL006C::chr3_1/chr00_12	250	227	766	1450	312	742
